,link,date,judge,decision
167,https://www.nycourts.gov/reporter/motions/2024/2024_97167.htm,2024-02-23,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
168,https://www.nycourts.gov/reporter/motions/2024/2024_97168.htm,2024-02-13,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
169,https://www.nycourts.gov/reporter/motions/2024/2024_97169.htm,2024-02-29,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
170,https://www.nycourts.gov/reporter/motions/2024/2024_97170.htm,2024-02-27,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
171,https://www.nycourts.gov/reporter/motions/2024/2024_97171.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
172,https://www.nycourts.gov/reporter/motions/2024/2024_97172.htm,2024-02-23,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
173,https://www.nycourts.gov/reporter/motions/2024/2024_97173.htm,2024-02-27,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
174,https://www.nycourts.gov/reporter/motions/2024/2024_97174.htm,2024-02-27,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
175,https://www.nycourts.gov/reporter/motions/2024/2024_97175.htm,2024-02-22,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
176,https://www.nycourts.gov/reporter/motions/2024/2024_97176.htm,2024-03-14,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
177,https://www.nycourts.gov/reporter/motions/2024/2024_97177.htm,2024-03-26,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal dismissed
178,https://www.nycourts.gov/reporter/motions/2024/2024_97178.htm,2024-03-28,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
179,https://www.nycourts.gov/reporter/motions/2024/2024_97179.htm,2024-03-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
180,https://www.nycourts.gov/reporter/motions/2024/2024_97180.htm,2024-03-28,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
181,https://www.nycourts.gov/reporter/motions/2024/2024_97181.htm,2024-03-01,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
182,https://www.nycourts.gov/reporter/motions/2024/2024_97182.htm,2024-03-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
183,https://www.nycourts.gov/reporter/motions/2024/2024_97183.htm,2024-03-28,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied reconsideration
184,https://www.nycourts.gov/reporter/motions/2024/2024_97184.htm,2024-03-28,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
185,https://www.nycourts.gov/reporter/motions/2024/2024_97185.htm,2024-03-19,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
186,https://www.nycourts.gov/reporter/motions/2024/2024_97186.htm,2024-03-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
187,https://www.nycourts.gov/reporter/motions/2024/2024_97187.htm,2024-03-28,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied reconsideration
188,https://www.nycourts.gov/reporter/motions/2024/2024_97188.htm,2024-03-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
189,https://www.nycourts.gov/reporter/motions/2024/2024_97189.htm,2024-03-21,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
190,https://www.nycourts.gov/reporter/motions/2024/2024_97190.htm,2024-03-28,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
